physicalStId,涉及合并站,BV站点ID,车来了站名,BV站数,说明
1ff9280f637e4232b3c203cbe719455c,凤凰城总 / 凤凰城,BV11284683 / BV09046615,凤凰城（凤馨苑）总站,2,总站与非总站混合，不自动合并
1144cd8e08734398b90938e2fdfa58a6,黄埔低空经济创新中心 / 黄埔低空经济创新中心总,BV09400279 / BV09400275,黄埔低空经济创新中心,2,总站与非总站混合，不自动合并
16b3129d826b425fa748eed7d6c08e52,禾丰新村西门 / 永和禾丰新村总,BV11654250 / BV11444715,禾丰新村西门 / 永和禾丰新村总站,2,总站与非总站混合，不自动合并
1c72093b736e406f878b864cfb61f810,禾丰新村西门 / 永和禾丰新村总,BV11654250 / BV11444715,禾丰新村西门 / 永和禾丰新村总站,2,总站与非总站混合，不自动合并
d0a6498260a3459da12a6e280507243a,广汕路(科景路口) / 广汕路(科景路口)总,BV09066404 / BV09070817,广汕路（科景路口）,2,总站与非总站混合，不自动合并
8d1db8dd4c8d47a5a89ea62da314b49f,东圃大马路 / 东圃总,BV10017897 / BV10019425,东圃大马路 / 东圃总站,2,总站与非总站混合，不自动合并
6926ba0cf9ac4617bb349bafd212b408,天坤三路总 / 天坤三路,BV11564624 / BV11609227,天坤三路,2,总站与非总站混合，不自动合并
1d011e8e82594644bf9dd676e83c5e1d,天坤三路 / 天坤三路总,BV11609227 / BV11564624,天坤三路,2,总站与非总站混合，不自动合并
44eef9f71b2d4e2389a74319f1aacd82,司法学校 / 司法学校总,BV10982982 / BV11645374,司法学校,2,总站与非总站混合，不自动合并
c7c54ed19bad4b188c6583090f2c8cf6,深井码头总 / 安新路北,BV10497615 / BV11392682,深井码头总站 / 安新路北,2,总站与非总站混合，不自动合并
543d7d99ff2c4309bf2c3a460f47af73,吉岐路 / 天河儿童公园北门总,BV10013830 / BV10499588,吉岐路 / 天河儿童公园北门总站,2,总站与非总站混合，不自动合并
291cd6600fe34f75bbaf356ac966b61a,小塱总 / 小塱,BV10019461 / BV10871158,小塱总站 / 小塱,2,总站与非总站混合，不自动合并
720bee8145ce417e96d6de3bc12f7e69,北山 / 北山总,BV10013862 / BV10541319,北山,2,总站与非总站混合，不自动合并
a0a53d01b4d14195a3cc396631774a46,仑头 / 仑头总,BV09224391 / BV10796283,仑头,2,总站与非总站混合，不自动合并
1ea9897e9528497db2dfd8d245444399,地铁东晓南站总 / 地铁东晓南,BV10018263 / BV10022709,地铁东晓南站总站 / 地铁东晓南站,2,总站与非总站混合，不自动合并
05e237b3a64844d1b4f4cc7b5ef33814,土华总 / 土华路西,BV10021864 / BV11488927,土华总站 / 土华路西,2,总站与非总站混合，不自动合并
3dbe5a600a13445b87049f5a0f5ad0f2,神山 / 神山总,BV09000493 / BV10013876,神山,2,总站与非总站混合，不自动合并
c75487e493d74b26a25c38ea2e685881,白沙村 / 白沙村总,BV10018425 / BV10381111,白沙村,2,总站与非总站混合，不自动合并
69319febc2dc473c94742271345c936d,淘金路口 / 淘金北路总,BV10509901 / BV10604971,淘金路口 / 淘金北路总站,2,总站与非总站混合，不自动合并
dcc6e44a473040448b0b0ffb88c224b5,渔沙坦(中山村)总 / 渔沙坦,BV09343729 / BV10847070,渔沙坦（中山村）总站,2,总站与非总站混合，不自动合并
67b2387288644052b7b6376d75826b04,地铁植物园 / 天源路总,BV10855094 / BV09065517,地铁植物园站（世纪绿洲） / 天源路（华南国家植物园）总站,2,总站与非总站混合，不自动合并
91c19788626746eabc60ae4d972e0602,渔沙坦 / 渔沙坦(中山村)总,BV10847070 / BV09343729,渔沙坦（中山村）总站,2,总站与非总站混合，不自动合并
a194d1c8006947c6a47da958bf63b47a,广汕一路总站(林机街) / 广汕一路,BV09042300 / BV11688562,广汕一路,2,总站与非总站混合，不自动合并
440b2188ba5e48d39f0dd533af7795bd,东圃总 / 东圃大马路,BV10019425 / BV10017897,东圃总站 / 东圃大马路,2,总站与非总站混合，不自动合并
769a93a1f88c40b8b07c61f9b519a4b1,嘉禾望岗总 / 嘉禾望岗,BV09408554 / BV09408343,嘉禾望岗,2,总站与非总站混合，不自动合并
93ecbd7927444ef0891facef789b969f,江高 / 江高总#1,BV09242094 / BV10623355,江高,2,总站与非总站混合，不自动合并
169ed6f234674579a996f4cdbcba927a,嘉禾望岗 / 嘉禾望岗总,BV09408343 / BV09408554,嘉禾望岗总站,2,总站与非总站混合，不自动合并
dbc7527bcdb24ec999066d66f846026e,人和墟(万家福广场) / 人和墟总,BV11689355 / BV10014381,人和墟 / 人和墟总站,2,总站与非总站混合，不自动合并
46ad69eae3764d529f65290a09bb81fd,云埔一路 / 云埔一路总,BV11379024 / BV10017550,云埔一路,2,总站与非总站混合，不自动合并
552844d8411948799aa517ca857bba96,江高小塘总 / 江高小塘,BV10014050 / BV10018878,江高小塘总站 / 江高小塘,2,总站与非总站混合，不自动合并
cf2558a07f864d9b8b95a98ea89bcd71,金宇花园 / 金宇花园总,BV11688515 / BV10013810,金宇花园 / 金宇花园总站,2,总站与非总站混合，不自动合并
