合并站名,站组ID,原始分站名,站点ID,经度,纬度
新屋吓村,新屋吓村,新屋吓村,BV11303330,113.743395,23.393844
新屋村,新屋村,新屋村,BV11409763,113.943494,23.404104
新屋社站,新屋社,新屋社站,BV11491309,113.368234,23.600179
新山吓村,新山吓村,新山吓村,BV11463927,113.866773,23.173764
新岑四路,新岑四路,新岑四路,BV09189956,113.39977,23.167863
新市,新市,新市,BV10014190,113.255219,23.188046
新市云霄楼,新市云霄楼,新市云霄楼,BV10022281,113.267685,23.196498
新市南街,新市南街,新市南街,BV11377520,113.259158,23.19326
新市墟,新市墟,新市墟站,BV11687839,113.256343,23.194383
新市墟,新市墟,新市墟2,BV09226067,113.257004,23.195114
新市墟,新市墟,新市墟站2,BV09392281,113.257055,23.195948
新市墟,新市墟,新市墟3,BV09161217,113.256606,23.19493
新市墟,新市墟,新市墟1,BV09226083,113.256016,23.192479
新市墟,新市墟,新市墟4,BV09404762,113.256343,23.194383
新市墟,新市墟,新市墟5,BV09226085,113.256205,23.194071
新市头路,新市头路,新市头路,BV10022187,113.315689,23.102025
新市头路南,新市头路南,新市头路南,BV10022188,113.314572,23.099849
新市新街中,新市新街中,新市新街中,BV10022101,113.253122,23.193763
新市新街口,新市新街口,新市新街口,BV10022099,113.255796,23.193857
新市新街西,新市新街西,新市新街西,BV10022102,113.25195,23.193631
新广场,新广场,新广场,BV10676452,113.358886,22.936415
新庄二路,新庄二路,新庄二路,BV09368638,113.556646,23.194941
新庄二路(新安路口),新庄二路(新安路口),新庄二路(新安路口)站,BV09003168,113.553185,23.195698
新庄二路站(新安路口),新庄二路站(新安路口),新庄二路站(新安路口),BV11102413,113.553126,23.195708
新庄村,新庄村#1,新庄村,BV11346061,113.572086,23.573633
新庄村,新庄村#2,新庄村站,BV09303743,113.224403,23.48149
新庄村委,新庄村委,新庄村委,BV10014485,113.553206,23.196736
新庄路口,新庄路口,新庄路口,BV11352943,113.480926,23.484503
新康花园,新康花园,新康花园站,BV11248517,113.583173,23.116004
新康花园北门,新康花园北门,新康花园北门站,BV11133521,113.582905,23.124756
新开埔顶,新开埔顶,新开埔顶,BV11370949,113.560196,23.560122
新开花谷,新开花谷,新开花谷,BV11452846,113.547817,23.567521
新惠路中,新惠路中,新惠路中,BV09370050,113.599852,23.190884
新扬四队,新扬四队,新扬四队,BV10023906,113.208031,23.470453
新扬市场,新扬市场,新扬市场,BV10481258,113.192432,23.472432
新扬村,新扬村,新扬村,BV10462381,113.201631,23.47396
新新大道中,新新大道中,新新大道中站,BV10017830,113.585651,23.180363
新明村,新明村,新明村,BV10020886,113.58738,23.525021
新星,新星,新星,BV09005946,113.12034,23.215977
新星村,新星村,新星村,BV09236192,113.56646,23.6024
新月明珠花园,新月明珠花园,新月明珠花园,BV10020323,113.312723,23.01761
新材料C区,新材料C区,新材料C区,BV10796594,113.175892,23.21737
新村,新村#1,新村站,BV10573526,112.952279,23.371366
新村,新村#2,新村,BV11619414,113.290439,23.253932
新村,新村#3,新村,BV11619416,113.977173,23.84563
新村,新村#4,新村,BV11619413,113.54353,23.393703
新村,新村#5,新村,BV09269063,113.521901,22.70866
新村,新村#6,新村,BV11619415,113.49716,22.912063
